tier_name,country_latitude,count,used,country_longitude,pool_name,capacity,city_latitude,city_longitude,subscribed,city_name,service_type,device_serial,mgmt_cost,country_name,used_cost,timestamp,datacenter_name
Service-Class-0u,null,1,1.573702912E9,null,55953-101,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55953-107,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55953-108,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55953-109,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.07637792768E11,null,55953-10,1.5006359552E11,null,null,1.61397768192E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.07280023552E11,null,55953-19,1.5006359552E11,null,null,1.6211918848E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,2.35753127936E11,null,55953-40,2.66359062528E11,null,null,2.57919811584E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-2,null,1,1.37638608896E11,null,55953-22,1.37671524352E11,null,null,2.33925558272E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-2,null,1,1.05447006208E11,null,55953-23,1.22123239424E11,null,null,8.58994507776E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-2,null,1,1.48028424192E11,null,55953-24,1.56542124032E11,null,null,8.58994507776E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-2,null,1,7.4695417856E10,null,55953-25,8.7704256512E10,null,null,8.58994507776E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-2,null,1,1.07102912512E11,null,55953-26,1.22123239424E11,null,null,8.58994507776E11,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC

